category,faam_property,type,value,base_url,label
metadata,label,string,Sonata K. 378,,
metadata,label,string,"Keyboard Sonata in F major, K.378",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,id,id,mFRiCY2d,,
metadata,nodegoat_id,id,16003771,,
metadata,aliases,string,"Keyboard Sonata in F major, L.276",,
metadata,aliases,string,Sonata K. 378,,
metadata,qid,externalid,Q78243740,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Keyboard Sonata in F major, K.378 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,293708398,https://viaf.org/viaf/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,Na5pMDjZ,,Domenico Scarlatti
statements,adapted by,item,SLpCAuz4,,Muzio Clementi
statements,adapted by,item,YdWwzL5r,,Carl Czerny
statements,adapted by,item,S2wjk8Yx,,Alessandro Longo
