category,faam_property,type,value,base_url,label
metadata,label,string,ad libitum,,
metadata,description,string,"Latin expression for ""at one's pleasure""",,
metadata,aliases,string,ad lib,,
metadata,aliases,string,ad libitum,,
metadata,qid,externalid,Q310735,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,15996318,,
statements,subclass of,item,93GDD9ND,,ornament
statements,instance of,item,fxtj72S3,,musical notation
statements,instance of,item,Dy8pmS8i,,musical concept
statements,instance of,item,ZcuAcbpG,,musical improvisation
statements,musical parameter,item,2kxvrpzm,,pitch
statements,musical parameter,item,R9hADWGS,,duration
statements,used by,item,oMERLdSN,,performer
statements,used by,item,YvQmwaaW,,composer
