category,faam_property,type,value,base_url,label
metadata,label,string,Michelangelo Vella,,
metadata,description,string,Maltese composer and organist (1710-1792),,
metadata,id,id,n4SQLZpV,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q3856470,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,103225688,https://viaf.org/viaf/,
statements,date of birth,date,1710-11-07,,
statements,date of death,date,1792-12-25,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,PGamAZRD,,organist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,VxRGcruk,,
statements,place of birth,item,b4RPMtTi,,Senglea
statements,place of death,item,DpzzaYow,,Bormla
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
