category,faam_property,type,value,base_url,label
metadata,label,string,Kraków,,
metadata,description,string,capital city of Lesser Poland Voivodeship in southern Poland,,
metadata,aliases,string,Kraków,,
metadata,aliases,string,Cracow,,
metadata,aliases,string,Krakow,,
metadata,aliases,string,Royal City of Kraków,,
metadata,aliases,string,Royal Capital City of Kraków,,
metadata,aliases,string,Krakau,,
metadata,aliases,string,Kroke,,
metadata,aliases,string,Cracovie,,
metadata,aliases,string,Cracovia,,
metadata,aliases,string,Krakov,,
metadata,aliases,string,Krakiv,,
metadata,aliases,string,Krakkó,,
metadata,aliases,string,Krakova,,
metadata,aliases,string,Krako,,
metadata,aliases,string,Krakoy,,
metadata,aliases,string,Krakuv,,
metadata,qid,externalid,Q31487,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,95863,,
statements,GeoNames ID,externalid,6690154,https://www.geonames.org/,
statements,country,item,CGf6bUWt,,Poland
