category,faam_property,type,value,base_url,label
metadata,label,string,Adolf Pollitzer,,
metadata,description,string,Hungarian musician (1832–1900),,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q2025160,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,17651473,https://viaf.org/viaf/,
statements,IMSLP ID,externalid,"Category:Pollitzer,_Adolf",https://imslp.org/wiki/,
statements,date of birth,date,1832-07-23,,
statements,date of death,date,1900-11-14,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,irSPevuD,,violinist
statements,occupation,item,6XD3homi,,music educator
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,4sgDBRdV,,United Kingdom of Great Britain and Ireland
statements,place of birth,item,DbwW2oA4,,Pest
statements,place of death,item,bsTArmEN,,London
statements,instrument,item,VZE4bgeN,,violin
statements,influenced by,item,kWsk5kdB,,
statements,influenced by,item,PkP9awjP,,
statements,educated at,item,hn6sVeFM,,University of Music and Performing Arts Vienna
