category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Fantaisie caractéristique : pour flûte : op. 16,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992561,,,
metadata,FAAM manifestation ID,id,KCG-000329401,,,
metadata,call number,string,A-1058,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,cmQGFaLi,,Lithographic quality,
statements,editorial annotation,item,D6RjeTWv,,musical expression,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,m9rNaSAR,,rallentando,
statements,editorial annotation,item,amkJ6EBs,,cadenza,
statements,editorial annotation,item,3TH8dCwg,,accelerando,
statements,handwritten annotation,item,gb6MiJbD,,ink stamp,
statements,handwritten annotation,item,m9rNaSAR,,rallentando,
statements,handwritten annotation,item,mhohuJYG,,cut,
statements,handwritten annotation,item,gaLrAUbu,,deletion,
statements,handwritten annotation,item,E4rhHet3,,instrument call,
statements,provenance,item,7jH33jwQ,,Library Royal Conservatoire Ghent,
statements,keyword,item,5CuESLMk,,fantasia,
statements,instrumentation,item,AdNoqEfD,,flute,
statements,instrumentation,item,G8tgNnWV,,violin,
statements,instrumentation,item,K9mQeF4d,,viola,
statements,instrumentation,item,2nFJpnZ8,,cello,
statements,instrumentation,item,i6ZUL4z4,,double bass,
statements,musical work,item,MdNmE4R2,,"Fantaisie caractéristique, Op.16",
statements,agent,statement,UVrhQznW,,Joachim Andersen,YvQmwaaW||
statements,agent,statement,DDH7fEFM,,Anonymous,AcFWzeQH|AYShtw7v|
statements,agent,statement,KW3RZcDp,,Royal Conservatory of Ghent,9QaFAsRL|AYShtw7v|
