category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Gavotte,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005567,,,
metadata,FAAM manifestation ID,id,ORP-20143988p64,,,
metadata,call number,string,KTS1 H.11.map.008,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,"L'Illustration, N. 3308
L'Illustration, N. 3308",,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,Qw4zjHnS,,dance music,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,agent,statement,LgSx2Az3,,Felix Borowski,YvQmwaaW||
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|21-07-1906
