category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Sonate N. 32 (Gigue),,
metadata,description,string,,,
metadata,id,id,o7DmDciH,,
metadata,nodegoat_id,id,15992671,,
metadata,FAAM manifestation ID,id,KCA-TP69446,,
metadata,call number,string,TP69446,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1730,,
statements,editorial annotation,item,3ts8CrNB,,
statements,editorial annotation,item,UDva945b,,
statements,editorial annotation,item,e9t5BdLA,,
statements,editorial annotation,item,eviEKifd,,
statements,editorial annotation,item,DqMNcjpW,,
statements,editorial annotation,item,CPJ2a2C2,,
statements,editorial annotation,item,WtvibJFF,,
statements,editorial annotation,item,WT9AcUBt,,
statements,provenance,item,6vrn9seu,,
statements,keyword,item,FSduWvy5,,
statements,keyword,item,E2chmtzQ,,
statements,instrumentation,item,GoXpNrsh,,
statements,musical work,item,LJAb9q9p,,
statements,agent,statement,mc2UEWpA,45qo3Fj3||,
statements,agent,statement,miDpPEFC,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,Na5pMDjZ,fkHJwpoD||1730,
statements,role,item,45qo3Fj3,,
statements,role,item,GBgJfRbK,,
statements,role,item,fkHJwpoD,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,KCA-TP69446.gif,,../assets/images/thumbs/
