category,faam_property,type,value,base_url,label
metadata,label,string,Hippolyte Monpou,,
metadata,label,string,Hippolyte Monpou,,
metadata,description,string,French composer and organist (1804–1841),,
metadata,nodegoat_id,id,15995957,,
metadata,aliases,string,François Louis Hippolyte Monpou,,
metadata,aliases,string,Hippolyte Monpou,,
metadata,qid,externalid,Q3136089,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,76581454,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/113542,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Monpou,_Hippolyte",https://imslp.org/wiki/,
statements,date of birth,date,1804-01-12,,
statements,date of death,date,1841-08-10,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,PGamAZRD,,organist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,NTVdRo4W,,Paris
statements,place of death,item,2H84XLSg,,Orléans
statements,instrument,item,J32Mk8QV,,pipe organ
statements,influenced by,item,n6jCzLia,,
