category,faam_property,type,value,base_url,label
metadata,label,string,Isidore de Lara,,
metadata,label,string,Isidore de Lara,,
metadata,description,string,,,
metadata,description,string,English composer and singer (1858–1935),,
metadata,id,id,2Q9rgnPT,,
metadata,nodegoat_id,id,16005359,,
metadata,aliases,string,,,
metadata,aliases,string,Isidore de Lara,,
metadata,qid,externalid,Q971436,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,87112731,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30073671,https://rism.online/,
statements,IMSLP ID,externalid,"Category:De_Lara,_Isidore",https://imslp.org/wiki/,
statements,date of birth,date,1858-08-09,,
statements,date of death,date,1935-09-02,,
statements,type,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,RHfvaKqY,,pianist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,MGBpLC55,,United Kingdom
statements,nationality,item,4sgDBRdV,,United Kingdom of Great Britain and Ireland
statements,place of birth,item,bsTArmEN,,London
statements,place of death,item,NTVdRo4W,,
statements,educated at,item,RTU8hLY4,,Milan Conservatory
statements,employer,item,6mtFubGL,,Guildhall School of Music and Drama
resources,image,image,Isidore_de_Lara.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
