category,faam_property,type,value,base_url,label
metadata,label,string,Magdalen College,,
metadata,label,string,Magdalen College,,
metadata,description,string,,,
metadata,description,string,constituent college of the University of Oxford in England,,
metadata,id,id,2sFrtWXK,,
metadata,nodegoat_id,id,15991063,,
metadata,qid,externalid,Q81162,http://wwww.wikidata.org/entity/,
metadata,aliases,string,The President and Fellows of the College of St Mary Magdalen in the University of Oxford,,
metadata,aliases,string,"Magdalen College, Oxford",,
metadata,aliases,string,Magdalen College,,
statements,place,item,6SShoPW2,,
statements,place,item,bSPC7zMk,,
statements,country,item,MGBpLC55,,United Kingdom
