category,faam_property,type,value,base_url,label
metadata,label,string,,,
metadata,label,string,"Missa O regem celi, IGP 470",,
metadata,description,string,,,
metadata,id,id,6Fr97LVE,,
metadata,nodegoat_id,id,16002717,,
statements,IMSLP ID,externalid,"Missa O regem celi (Palestrina, Giovanni Pierluigi da)",https://imslp.org/wiki/,
statements,form of creative work,item,oQTyk8An,,mass
statements,form of creative work,item,eCYL2PkE,,liturgical music
statements,form of creative work,item,cRanApmp,,parody mass
statements,creator,item,Ddx923Ut,,Giovanni Pierluigi da Palestrina
statements,adapted by,item,6ng5YJy5,,Charles Bordes
statements,adapted by,item,d8cUVe7p,,Franz Xaver Haberl
