category,faam_property,type,value,base_url,label
metadata,label,string,Hamburg State and University Library Carl von Ossietzky,,
metadata,label,string,Hamburg State and University Library Carl von Ossietzky,,
metadata,description,string,,,
metadata,description,string,scientific general library of the city-state of Hamburg,,
metadata,id,id,88PwdAPd,,
metadata,nodegoat_id,id,15992254,,
metadata,qid,externalid,Q2324644,http://wwww.wikidata.org/entity/,
metadata,abbreviation,string,SUH,,
metadata,aliases,string,Hamburg State and University Library,,
metadata,aliases,string,Hamburg State and University Library Carl von Ossietzky,,
statements,copyright,string,© Hamburg State and University Library Carl von Ossietzky,,
statements,place,item,4wGJZSfp,,Hamburg
statements,country,item,oDvJJJ7G,,Germany
