category,faam_property,type,value,base_url,label
metadata,label,string,Franz Espagne,,
metadata,label,string,Franz Espagne,,
metadata,description,string,,,
metadata,description,string,German musicologist,,
metadata,id,id,9MCtsKYb,,
metadata,nodegoat_id,id,15996146,,
metadata,aliases,string,,,
metadata,aliases,string,Franz Espagne,,
metadata,qid,externalid,Q20001764,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,17977499,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/57976,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Espagne,_Franz",https://imslp.org/wiki/,
statements,date of birth,date,1828-04-21,,
statements,date of death,date,1878-05-24,,
statements,type,item,ZwquHrbe,,human
statements,role,item,45qo3Fj3,,music editor
statements,related to,item,FSduWvy5,,early music
statements,related to,item,jTMjFsDj,,Cecilian Movement
statements,occupation,item,YYyZX3aY,,musicologist
statements,sex or gender,item,VAnkqco6,,male
statements,place of birth,item,GVS6AmQ6,,
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
