category,faam_property,type,value,base_url,label
metadata,label,string,St Matthew Passion,,
metadata,label,string,"Matthäuspassion, BWV 244",,
metadata,description,string,,,
metadata,description,string,1727 sacred oratorio by Johann Sebastian Bach,,
metadata,id,id,9mJHGjuh,,
metadata,nodegoat_id,id,16004080,,
metadata,aliases,string,BWV 244,,
metadata,aliases,string,St Matthew Passion,,
metadata,qid,externalid,Q379111,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Matthäuspassion, BWV 244 (Bach, Johann Sebastian)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,1371147270361735700006,https://viaf.org/viaf/,
statements,form of creative work,item,Gz3LUkC5,,church cantata
statements,creator,item,QhRQ5LW9,,Johann Sebastian Bach
statements,adapted by,item,CJgFHXHi,,Napoléon Joseph Ney
statements,adapted by,item,D3Vekn6E,,Robert Franz
