category,faam_property,type,value,base_url
metadata,label,string,Dutch Republic,
metadata,label,string,Dutch Republic,
metadata,description,string,,
metadata,description,string,predecessor state of the Netherlands (1581–1795),
metadata,id,id,9pCnLtrM,
metadata,nodegoat_id,id,15998206,
metadata,qid,externalid,Q170072,http://wwww.wikidata.org/entity/
metadata,aliases,string,Republic of the Seven United Netherlands,
metadata,aliases,string,Republic of the United Netherlands,
metadata,aliases,string,Republic of the Seven United Provinces,
metadata,aliases,string,United Provinces,
metadata,aliases,string,Federated Dutch Provinces,
metadata,aliases,string,Dutch Federation,
metadata,aliases,string,United Provinces of the Netherlands,
metadata,aliases,string,Netherlands (1581–1795),
metadata,aliases,string,Republic of the Netherlands,
metadata,aliases,string,Republiek der Zeven Verenigde Nederlanden,
metadata,aliases,string,Dutch Republic,
