category,faam_property,type,value,base_url,label
metadata,label,string,Karel Miry,,
metadata,label,string,Karel Miry,,
metadata,description,string,,,
metadata,description,string,Belgian composer (1823-1889),,
metadata,id,id,A3ZNZh4C,,
metadata,nodegoat_id,id,15995976,,
metadata,aliases,string,,,
metadata,aliases,string,Karel Miry,,
metadata,qid,externalid,Q3076542,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,60229908,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30019941,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Miry,_Karel",https://imslp.org/wiki/,
statements,date of birth,date,1823-08-14,,
statements,date of death,date,1889-10-03,,
statements,type,item,ZwquHrbe,,human
statements,role,item,2ZAuwsSp,,conductor
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,2KT5AU2p,,conductor
statements,occupation,item,6XD3homi,,music educator
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,QbfXawnE,,Belgium
statements,place of birth,item,nPpdkcAP,,
statements,place of death,item,nPpdkcAP,,
statements,instrument,item,VZE4bgeN,,violin
statements,educated at,item,dqzZNPaF,,Royal Conservatory of Ghent
statements,employer,item,dqzZNPaF,,Royal Conservatory of Ghent
resources,image,image,https://upload.wikimedia.org/wikipedia/commons/3/3e/Gustave_Vanaise_-_Portrait_of_the_Composer_Charles_Miry_-_1913-X_-_Museum_of_Fine_Arts_Ghent_%28MSK%29.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
