category,faam_property,type,value,base_url
metadata,label,string,actor,
metadata,label,string,lawyer,
metadata,description,string,,
metadata,description,string,"person who acts in a dramatic or comic production and works in film, television, theatre, or radio",
metadata,id,id,ATuDQeEo,
metadata,nodegoat_id,id,15990958,
metadata,qid,externalid,Q33999,http://wwww.wikidata.org/entity/
metadata,aliases,string,actress,
metadata,aliases,string,actors,
metadata,aliases,string,actresses,
metadata,aliases,string,movie actresses,
metadata,aliases,string,movie actress,
metadata,aliases,string,actor,
