category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Ancienne musique de luth (XVIe et XVIIe siècles) : adaptée pour l'exécution sur la harpe chromatique,,,
metadata,description,string,,,,
metadata,id,id,BY5BxzrK,,,
metadata,nodegoat_id,id,15996296,,,
metadata,FAAM manifestation ID,id,KCA-030901267440,,,
metadata,call number,string,UM-THA-DALLI-ancienn-1,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,1906,,,
statements,editorial annotation,item,UDva945b,crescendo,,
statements,editorial annotation,item,fkm6BFV4,sforzando,,
statements,editorial annotation,item,WtvibJFF,accent,,
statements,editorial annotation,item,9dz9ydpz,legato,,
statements,editorial annotation,item,3ts8CrNB,musical phrasing,,
statements,editorial annotation,item,eviEKifd,dynamic,,
statements,editorial annotation,item,WT9AcUBt,tempo,,
statements,editorial annotation,item,3Vvybq56,affect,,
statements,editorial annotation,item,HLS3i3gt,citation,,
statements,editorial annotation,item,bZxRjBKt,brackets,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,FSduWvy5,early music,,
statements,keyword,item,MaWnCnVw,arrangement,,
statements,keyword,item,6PUP9Ffx,harp music,,
statements,instrumentation,item,aQgptH4L,harp,,
statements,agent,statement,6KNgNbpn,,45qo3Fj3|GDeKaNeC|1906,
statements,role,item,45qo3Fj3,music editor,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
resources,thumb,image,KCA-030901267440.gif,,,../assets/images/thumbs/
