category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Air Varié : Pour Flûte Avec accompagnement de deux violons Alto et Basse : Cet air varié est arrangé Pour Flûte et Harpe,,,
metadata,description,string,,,,
metadata,id,id,Dh7UK4mk,,,
metadata,nodegoat_id,id,15992658,,,
metadata,FAAM manifestation ID,id,KCG-000370112,,,
metadata,call number,string,II 14574,,,
metadata,score format,item,g5WgfTuF,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,note,html,Original version for flute and strings.,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,B7WuhvkL,fermata,,
statements,editorial annotation,item,A4NPbBsi,ornament,,
statements,editorial annotation,item,WT9AcUBt,tempo,,
statements,editorial annotation,item,DqMNcjpW,trill,,
statements,editorial annotation,item,WtvibJFF,accent,,
statements,editorial annotation,item,Rxa2vGNJ,repeat sign,,
statements,handwritten annotation,item,B7WuhvkL,fermata,,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,,
statements,related item,item,,,,
statements,keyword,item,U5dHgcL4,theme and variation,,
statements,keyword,item,6kwYh3HH,chamber music,,
statements,keyword,item,adAmqPwn,duet,,
statements,keyword,item,MaWnCnVw,arrangement,,
statements,instrumentation,item,aQgptH4L,harp,,
statements,instrumentation,item,MV3uErvy,flute,,
statements,agent,statement,NCUrhkez,,fkHJwpoD||,
statements,agent,statement,kRrzjGzx,,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,,,||,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,,,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,,,,
resources,thumb,image,KCG-000370112.gif,,,../assets/images/thumbs/
