category,faam_property,type,value,base_url
metadata,label,string,The Hague,
metadata,label,string,Den Haag,
metadata,description,string,,
metadata,description,string,"city and municipality in the Netherlands, seat of the Dutch government",
metadata,id,id,EmMG4HwD,
metadata,nodegoat_id,id,85926,
metadata,qid,externalid,Q36600,http://wwww.wikidata.org/entity/
metadata,aliases,string,The Hague,
metadata,aliases,string,Den Haag,
metadata,aliases,string,'s-Gravenhage,
metadata,aliases,string,Haag,
metadata,aliases,string,Hague,
statements,GeoNames ID,externalid,2747373,https://www.geonames.org/
statements,GeoNames ID,externalid,NL,https://www.geonames.org/
