category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Alceste. Air de ballet du 2e acte,,,
metadata,description,string,,,,
metadata,id,id,M6apnoyv,,,
metadata,nodegoat_id,id,16005529,,,
metadata,FAAM manifestation ID,id,ORP-20143988p26,,,
metadata,call number,string,KTS1 H.11.map.008,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,note,html,"L'Illustration, N. 3203
L'Illustration, N. 3203",,,
statements,date,date,,,,
statements,date,date,16-07-1904,,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,,
statements,related item,item,,,,
statements,keyword,item,FSduWvy5,early music,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,agent,statement,9bDAzDtP,,fkHJwpoD||,
statements,agent,statement,9bDAzDtP,,fkHJwpoD||,
statements,agent,statement,Ui7C9eZU,,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,Ui7C9eZU,,GBgJfRbK|GDeKaNeC|16-07-1904,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,GBgJfRbK,publishing company,,
statements,place,item,,,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
resources,thumb,image,ORP-20143988p26.gif,,,../assets/images/thumbs/
