category,faam_property,type,value,base_url,label
metadata,label,string,Théophile-Adolphe Manoury,,
metadata,label,string,Théophile-Adolphe Manoury,,
metadata,description,string,,,
metadata,description,string,French baritone,,
metadata,id,id,MKrnDeh4,,
metadata,nodegoat_id,id,16004363,,
metadata,aliases,string,Théophile Manoury,,
metadata,aliases,string,Adolphe Théophile Manoury,,
metadata,aliases,string,Théophile-Adolphe Manoury,,
metadata,qid,externalid,Q55832796,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,133152742898827731173,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30044440,https://rism.online/,
statements,date of birth,date,1846-12-16,,
statements,date of death,date,1909-06-16,,
statements,type,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,related to,item,Vm5DPnGE,,vocal pedagogy
statements,occupation,item,n9MN9cLo,,opera singer
statements,occupation,item,n8RY6FTC,,
statements,occupation,item,Wm5MWZbA,,teacher
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,Hyo5RL5i,,
statements,place of death,item,5QzfLDJP,,
statements,instrument,item,KJkThvsq,,voice
statements,influenced by,item,AJ36KeTo,,
statements,influenced by,item,Q9JtJjKV,,
statements,employer,item,QaJicP98,,
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
resources,image,image,Théophile-Adolphe_Manoury.png,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
