category,faam_property,type,value,base_url,label
metadata,label,string,Charles de Montfort,,
metadata,label,string,Charles Dufaur de Montfort,,
metadata,description,string,,,
metadata,description,string,French magistrate,,
metadata,id,id,Q27MoG2p,,
metadata,nodegoat_id,id,16005248,,
metadata,aliases,string,Charles Dufaur de Montfort,,
metadata,aliases,string,Charles de Montfort,,
metadata,qid,externalid,Q60333156,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,326148389576010712958,https://viaf.org/viaf/,
statements,date of birth,date,1802-08-28,,
statements,type,item,ZwquHrbe,,human
statements,occupation,item,3KpEskoW,,
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
