category,faam_property,type,value,base_url,label
metadata,label,string,Sonata K. 19,,
metadata,label,string,"Keyboard Sonata in F minor, K.19",,
metadata,description,string,,,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,id,id,RB8TBg4D,,
metadata,nodegoat_id,id,16003411,,
metadata,aliases,string,"Keyboard Sonata in F minor, L.383",,
metadata,aliases,string,Sonata K. 19,,
metadata,qid,externalid,Q74594952,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Keyboard Sonata in F minor, K.19 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,293714791,https://viaf.org/viaf/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,Na5pMDjZ,,Domenico Scarlatti
statements,adapted by,item,S2wjk8Yx,,Alessandro Longo
statements,adapted by,item,5eke3MxL,,Michele Esposito
statements,adapted by,item,8W3GQvBB,,Thomas Dunhill
statements,adapted by,item,YdWwzL5r,,Carl Czerny
