category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,"Dernier Concerto : pour Piano, avec Accompagnement d'Orchestre : N° 1. des Oeuvres Posthumes",,,
metadata,description,string,,,,
metadata,id,id,SFPEKr5D,,,
metadata,nodegoat_id,id,15992596,,,
metadata,FAAM manifestation ID,id,KCG-000350255,,,
metadata,call number,string,II643,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score format,item,g5WgfTuF,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,1842,,,
statements,date,date,,,,
statements,handwritten annotation,item,K9MgTT3J,,,
statements,handwritten annotation,item,iWuVLJam,,,
statements,handwritten annotation,item,AeKhRWCB,,,
statements,handwritten annotation,item,SnxsnGvi,,,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,,
statements,related item,item,,,,
statements,keyword,item,65rhe5Po,concerto,,
statements,keyword,item,3EEWR5QY,posthumous work,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,instrumentation,item,g7hgtzmM,orchestra,,
statements,musical work,item,HRw5bEHr,,,
statements,agent,statement,3NyookEG,,2ZAuwsSp|8LdweD7c|1842,
statements,agent,statement,kZj58UuH,,fkHJwpoD||,
statements,agent,statement,,,||,
statements,role,item,2ZAuwsSp,conductor,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,,,,
statements,place,item,8LdweD7c,Ghent,,
statements,place,item,,,,
resources,thumb,image,KCG-000350255.gif,,,../assets/images/thumbs/
