category,faam_property,type,value,base_url,label
metadata,label,string,,,
metadata,label,string,Missa Tribus Vocibus Virorum,,
metadata,description,string,,,
metadata,id,id,SnbcSMxs,,
metadata,nodegoat_id,id,16005769,,
statements,IMSLP ID,externalid,"Missa Tribus Vocibus Virorum (Benoit, Peter)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,250986710,https://viaf.org/viaf/,
statements,form of creative work,item,oQTyk8An,,mass
statements,form of creative work,item,MEjPi9ot,,choral music
statements,creator,item,73vECvez,,Peter Benoit
