category,faam_property,type,value,base_url,label
metadata,label,string,Lamentationes Jeremiae Prophetae,,
metadata,label,string,Lamentationes Jeremiae Prophetae,,
metadata,description,string,,,
metadata,description,string,composition by Gregorio Allegri,,
metadata,id,id,TqXkQEQd,,
metadata,nodegoat_id,id,16002439,,
metadata,aliases,string,,,
metadata,aliases,string,Lamentationes Jeremiae Prophetae,,
metadata,qid,externalid,Q124315875,http://wwww.wikidata.org/entity/,
statements,form of creative work,item,6EuiKm2m,,Lamentations of Jeremiah the Prophet
statements,form of creative work,item,eyWFz5fC,,lamentation
statements,form of creative work,item,eCYL2PkE,,liturgical music
statements,creator,item,3ZV9i3hB,,Gregorio Allegri
statements,creator,item,CAmBvbKs,,Fortunato Santini
statements,adapted by,item,CJgFHXHi,,Napoléon Joseph Ney
