category,faam_property,type,value,base_url,label
metadata,label,string,The Magic Flute,,
metadata,label,string,The Magic Flute,,
metadata,description,string,,,
metadata,description,string,1791 opera by Wolfgang Amadeus Mozart,,
metadata,id,id,UDND8rKp,,
metadata,nodegoat_id,id,16001801,,
metadata,aliases,string,Die Zauberflöte,,
metadata,aliases,string,K.620,,
metadata,aliases,string,Magic Flute,,
metadata,aliases,string,The Magic Flute,,
metadata,qid,externalid,Q5064,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Die Zauberflöte, K.620 (Mozart, Wolfgang Amadeus)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,176580465,https://viaf.org/viaf/,
statements,form of creative work,item,hxYumS2J,,opera
statements,creator,item,8gZHuqVq,,Wolfgang Amadeus Mozart
statements,adapted by,item,TYtCu3ys,,Charles Auguste de Bériot
