category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Charlotte Corday: idylle: inleiding tot het 4de tafereel,,,
metadata,description,string,,,,
metadata,id,id,UwkG5TV5,,,
metadata,nodegoat_id,id,15992321,,,
metadata,FAAM manifestation ID,id,KCA-030901620275,,,
metadata,call number,string,MM-OO-BENOI-charlot-35 MM-OO-BENOI-charlot-35,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score format,item,g5WgfTuF,,,
metadata,score complexity,item,j3pK6Dqo,,,
statements,date,date,1876,,,
statements,date,date,,,,
statements,handwritten annotation,item,bsgSL8K5,,,
statements,handwritten annotation,item,eviEKifd,dynamic,,
statements,handwritten annotation,item,A4NPbBsi,ornament,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,hxYumS2J,opera,,
statements,keyword,item,hCL8ZYQY,symphonic music,,
statements,keyword,item,FHTHb7Dq,overture,,
statements,instrumentation,item,g7hgtzmM,orchestra,,
statements,musical work,item,gvB7xdLy,Charlotte Corday,,
statements,agent,statement,3NyookEG,,45qo3Fj3||,
statements,agent,statement,73vECvez,,fkHJwpoD||1876,
statements,agent,statement,,,||,
statements,role,item,45qo3Fj3,music editor,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,,,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCA-030901620275.gif,,,../assets/images/thumbs/
