category,faam_property,type,value,base_url,label
metadata,label,string,arpeggio,,
metadata,label,string,arpeggio,,
metadata,description,string,,,
metadata,description,string,notes in a chord played in sequence,,
metadata,id,id,ZdpNGGJP,,
metadata,nodegoat_id,id,15992150,,
metadata,qid,externalid,Q506986,http://wwww.wikidata.org/entity/,
metadata,aliases,string,arpeggio,,
statements,subclass of,item,A4NPbBsi,,ornament
statements,type,item,aB3G93He,,musical technique
statements,type,item,N2f5NSgz,,musical notation
statements,musical parameter,item,72sFir89,,duration
statements,musical parameter,item,Cf64Khds,,pitch
statements,used by,item,GoiPpGap,,performing artist
