category,faam_property,type,value,base_url,label
metadata,label,string,Sonata K. 115,,
metadata,label,string,"Keyboard Sonata in C minor, K.115",,
metadata,description,string,,,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,id,id,d4UhEhjJ,,
metadata,nodegoat_id,id,16003507,,
metadata,aliases,string,"Keyboard Sonata in C minor, L.407",,
metadata,aliases,string,Sonata K. 115,,
metadata,qid,externalid,Q67199931,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Keyboard Sonata in C minor, K.115 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,184532306,https://viaf.org/viaf/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,Na5pMDjZ,,Domenico Scarlatti
statements,adapted by,item,YdWwzL5r,,Carl Czerny
statements,adapted by,item,S2wjk8Yx,,Alessandro Longo
