category,faam_property,type,value,base_url,label
metadata,label,string,César Franck,,
metadata,label,string,César Franck,,
metadata,description,string,,,
metadata,description,string,Belgian-French composer and organist (1822–1890),,
metadata,id,id,eShK9Xad,,
metadata,nodegoat_id,id,16002417,,
metadata,aliases,string,Cesar Franck,,
metadata,aliases,string,César-Auguste-Jean-Guillaume-Hubert Franck,,
metadata,aliases,string,Cesar-Auguste-Jean-Guillaume-Hubert Franck,,
metadata,aliases,string,César Auguste Jean Guillaume Hubert Franck,,
metadata,aliases,string,César Franck,,
metadata,qid,externalid,Q50187,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,66651702,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/70009,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Franck,_César",https://imslp.org/wiki/,
statements,date of birth,date,1822-12-10,,
statements,date of death,date,1890-11-08,,
statements,type,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,QbfXawnE,,Belgium
statements,nationality,item,mLnCEjA8,,United Kingdom of the Netherlands
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,oAADJcBU,,
statements,place of death,item,NTVdRo4W,,
statements,instrument,item,J32Mk8QV,,pipe organ
statements,influenced by,item,h2ff8YKo,,
statements,influenced by,item,AWqDraUS,,François Benoist
statements,influenced by,item,oJGctqdB,,Anton Reicha
statements,influenced by,item,iNbTsAKd,,
statements,influenced by,item,fRg9hX2s,,
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
statements,educated at,item,ZdfPaJi9,,Royal Conservatory of Liège
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
statements,employer,item,Yj5tRovx,,Royal Conservatory of Brussels
resources,image,image,César_Franck_by_Pierre_Petit.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
