category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Le Roi des montagnes,,,
metadata,description,string,,,,
metadata,id,id,hSYkrXah,,,
metadata,nodegoat_id,id,16005429,,,
metadata,FAAM manifestation ID,id,ORP-20143702p47,,,
metadata,call number,string,KTS1 H.11.map.004,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,,,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,,
statements,related item,item,,,,
statements,keyword,item,hxYumS2J,opera,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,instrumentation,item,VZE4bgeN,violin,,
statements,agent,statement,,,||,
statements,role,item,45qo3Fj3,music editor,,
statements,place,item,,,,
resources,thumb,image,ORP-20143702p47.gif,,,../assets/images/thumbs/
