category,faam_property,type,value,base_url
metadata,label,string,collection volume,
metadata,label,string,collection volume,
metadata,description,string,,
metadata,description,string,book composed of separately printed works that are subsequently bound together,
metadata,id,id,mzt7Ej3m,
metadata,nodegoat_id,id,15990621,
metadata,qid,externalid,Q4230425,http://wwww.wikidata.org/entity/
metadata,aliases,string,nonce-volume,
metadata,aliases,string,miscellany,
metadata,aliases,string,sammelband,
metadata,aliases,string,composite textblock,
metadata,aliases,string,bound-with,
metadata,aliases,string,bound-together,
metadata,aliases,string,binder's volume,
metadata,aliases,string,convolute,
metadata,aliases,string,collection volume,
