category,faam_property,type,value,base_url,label
metadata,label,string,Georges Bizet,,
metadata,label,string,Georges Bizet,,
metadata,description,string,,,
metadata,description,string,French composer (1838–1875),,
metadata,id,id,n7zaDq2T,,
metadata,nodegoat_id,id,16005345,,
metadata,aliases,string,,,
metadata,aliases,string,Georges Bizet,,
metadata,qid,externalid,Q56158,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,10032551,https://viaf.org/viaf/,
statements,VIAF ID,externalid,305420338,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/20057,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Bizet,_Georges",https://imslp.org/wiki/,
statements,date of birth,date,1838-10-25,,
statements,date of death,date,1875-06-03,,
statements,type,item,ZwquHrbe,,human
statements,occupation,item,RU9hU5Pa,,classical composer
statements,occupation,item,2KT5AU2p,,conductor
statements,occupation,item,RHfvaKqY,,pianist
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,Hy5s6d4x,,
statements,place of birth,item,NTVdRo4W,,
statements,place of death,item,Nca5HHBK,,
statements,influenced by,item,8myGWNp8,,
statements,influenced by,item,h2ff8YKo,,
statements,influenced by,item,AWqDraUS,,François Benoist
statements,influenced by,item,U6xhouYu,,Fromental Halévy
statements,influenced by,item,cmzT8tYL,,Antoine-François Marmontel
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
resources,image,image,Georges_bizet.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
