category,faam_property,type,value,base_url,label
metadata,label,string,Gustaaf Van Hulse,,
metadata,label,string,Gustaaf Van Hulse,,
metadata,description,string,,,
metadata,description,string,Belgian composer (1862 - 1954),,
metadata,id,id,n8n9UC6C,,
metadata,nodegoat_id,id,16005646,,
metadata,aliases,string,G. van Hulse,,
metadata,aliases,string,G. van Hulse,,
metadata,aliases,string,Gustaaf Van Hulse,,
metadata,qid,externalid,Q133537215,http://wwww.wikidata.org/entity/,
statements,date of birth,date,1862-07-15,,
statements,date of death,date,1954-00-00,,
statements,type,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,related to,item,jTMjFsDj,,Cecilian Movement
statements,related to,item,7U54uqaV,,period composition
statements,related to,item,FSduWvy5,,early music
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,QbfXawnE,,Belgium
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
