category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Trois Trios : Pour Trois Clarinettes : Opéra 8,,,
metadata,description,string,,,,
metadata,id,id,nc5aLWEZ,,,
metadata,nodegoat_id,id,15992571,,,
metadata,FAAM manifestation ID,id,KCG-000336430,,,
metadata,call number,string,A-13 ONDERDEEL-2,,,
metadata,score format,item,g5WgfTuF,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,iWuVLJam,,,
statements,editorial annotation,item,3ts8CrNB,musical phrasing,,
statements,handwritten annotation,item,UDva945b,crescendo,,
statements,handwritten annotation,item,e9t5BdLA,decrescendo,,
statements,handwritten annotation,item,4PAdXGNC,,,
statements,handwritten annotation,item,eviEKifd,dynamic,,
statements,handwritten annotation,item,kmMxdth8,,,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,,
statements,related item,item,,,,
statements,keyword,item,6kwYh3HH,chamber music,,
statements,keyword,item,FA8iAzGc,clarinet music,,
statements,instrumentation,item,4AUBYBXJ,clarinet,,
statements,musical work,item,2sTiBgMV,The Creatures of Prometheus,,
statements,agent,statement,3NyookEG,,GoiPpGap||,
statements,agent,statement,aPwqkvS5,,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,3kUPUbFX,,fkHJwpoD||,
statements,agent,statement,dqzZNPaF,,NgFpoygv|8LdweD7c|,
statements,agent,statement,dqzZNPaF,,NgFpoygv|8LdweD7c|,
statements,agent,statement,dqzZNPaF,,NgFpoygv|8LdweD7c|,
statements,role,item,GoiPpGap,performing artist,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,NgFpoygv,scholar,,
statements,role,item,NgFpoygv,scholar,,
statements,role,item,NgFpoygv,scholar,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,8LdweD7c,Ghent,,
statements,place,item,8LdweD7c,Ghent,,
statements,place,item,8LdweD7c,Ghent,,
resources,thumb,image,KCG-000336430.gif,,,../assets/images/thumbs/
