category,faam_property,type,value,base_url,label
metadata,label,string,Grand Seminary Mechelen,,
metadata,label,string,Grand Seminary Mechelen,,
metadata,description,string,,,
metadata,description,string,seminary in Mechelen,,
metadata,id,id,nees8o8h,,
metadata,nodegoat_id,id,15996313,,
metadata,qid,externalid,Q49425918,http://wwww.wikidata.org/entity/,
metadata,aliases,string,Major Seminar Mechelen,,
metadata,aliases,string,Grand Seminary Mechelen,,
statements,place,item,Z3iqRDcv,,Mechelen
statements,country,item,QbfXawnE,,Belgium
