category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Keizer Tiberius: openingstuk: overgeschreven voor harmonie en fanfare,,,
metadata,description,string,,,,
metadata,id,id,oEuaCFDB,,,
metadata,nodegoat_id,id,15992299,,,
metadata,FAAM manifestation ID,id,KCA-030901829637,,,
metadata,call number,string,MM-MS-VANDERM-keizer-1,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,THYV2oLw,,,
statements,date,date,,,,
statements,handwritten annotation,item,eviEKifd,dynamic,,
statements,handwritten annotation,item,SnxsnGvi,,,
statements,handwritten annotation,item,kmMxdth8,,,
statements,handwritten annotation,item,3zoajAt8,,,
statements,handwritten annotation,item,WT9AcUBt,tempo,,
statements,handwritten annotation,item,4PAdXGNC,,,
statements,handwritten annotation,item,UDva945b,crescendo,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,hCL8ZYQY,symphonic music,,
statements,keyword,item,8wb95JHQ,harmony orchestra,,
statements,keyword,item,MaWnCnVw,arrangement,,
statements,keyword,item,FHTHb7Dq,overture,,
statements,instrumentation,item,g7hgtzmM,orchestra,,
statements,agent,statement,BNTD65xD,,fkHJwpoD||,
statements,role,item,fkHJwpoD,composer,,
statements,place,item,,,,
resources,thumb,image,KCA-030901829637.gif,,,../assets/images/thumbs/
