category,faam_property,type,value,base_url,label
metadata,label,string,Balthazar Lutgen,,
metadata,label,string,Balthazar Lutgen,,
metadata,description,string,,,
metadata,description,string,French music teacher,,
metadata,id,id,oGWGAS88,,
metadata,nodegoat_id,id,16004124,,
metadata,aliases,string,,,
metadata,aliases,string,Balthazar Lutgen,,
metadata,qid,externalid,Q130320166,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,79627670,https://viaf.org/viaf/,
statements,type,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,related to,item,Vm5DPnGE,,vocal pedagogy
statements,occupation,item,6XD3homi,,music educator
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
