category,faam_property,type,value,base_url,label
metadata,label,string,Felice Boghen,,
metadata,label,string,Felice Boghen,,
metadata,description,string,,,
metadata,description,string,"composer, orchestra conductor, pianist (1869-1945)",,
metadata,id,id,oYLKoCuK,,
metadata,nodegoat_id,id,15996050,,
metadata,aliases,string,Carlo Felice Boghen,,
metadata,aliases,string,Felice Boghen,,
metadata,qid,externalid,Q55225713,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,74118515,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30058709,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Boghen,_Felice",https://imslp.org/wiki/,
statements,date of birth,date,1869-01-01,,
statements,date of death,date,1945-01-25,,
statements,type,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,RHfvaKqY,,pianist
statements,occupation,item,YYyZX3aY,,musicologist
statements,occupation,item,2KT5AU2p,,conductor
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,RNVCZ5PK,,Kingdom of Italy
statements,place of birth,item,MDWRhZ8K,,
statements,place of death,item,8Xy54PC2,,
statements,instrument,item,GoXpNrsh,,piano
resources,image,image,Felice_Boghen_04.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
