category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Sonates pour piano et violon / L. van Beethoven ; nouvelle édition complète par Carl Reinecke ; la partie de violon arrangée par Friedrich Hermann,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005040,,,
metadata,FAAM manifestation ID,id,BNF-42599226w,,,
metadata,call number,string,G-12512 (1),,,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,UJ57Ew5y,,musical phrasing,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,H9peVKU2,,Rehearsal letter,
statements,editorial annotation,item,nTx2RkTQ,,trill,
statements,editorial annotation,item,SRaiiKJr,,decrescendo,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,hJoKsjEm,,variation,
statements,provenance,item,PRjsXYR5,,Bibliothèque Nationale de France,
statements,keyword,item,csV8qECp,,piano trio,
statements,keyword,item,RtkoMT89,,sonata,
statements,instrumentation,item,G8tgNnWV,,violin,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,GiP4KoyR,,"Violin Sonata No.1, Op.12 No.1",
statements,musical work,item,DtjNd2Fd,,"Violin Sonata No.2, Op.12 No.2",
statements,musical work,item,ST5ykkwz,,"Violin Sonata No.4, Op.23",
statements,musical work,item,hAkZNFYE,,"Violin Sonata No.5, Op.24",
statements,agent,statement,TZfafBBe,,Ludwig van Beethoven,YvQmwaaW||
statements,agent,statement,GBEySAxU,,Carl Reinecke,6UPEJgTQ||
statements,agent,statement,M5pEm9dz,,Friedrich Hermann,||
statements,agent,statement,bksidguC,,Enoch & Cie (Costallat),||
statements,agent,statement,DDH7fEFM,,Anonymous,||
