category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Marlborough - Op. 42,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005386,,,
metadata,FAAM manifestation ID,id,ORP-20143702p4,,,
metadata,call number,string,KTS1 H.11.map.004,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,D6RjeTWv,,musical expression,
statements,editorial annotation,item,GpNEm7nw,,engage pedal,
statements,editorial annotation,item,LQE77nqs,,release pedal,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,k6GNqQ5D,,arpeggio,
statements,editorial annotation,item,NxRMTXgV,,una corda,
statements,editorial annotation,item,ASkufuku,,tre le corde,
statements,editorial annotation,item,hJoKsjEm,,variation,
statements,editorial annotation,item,amkJ6EBs,,cadenza,
statements,handwritten annotation,item,PprjdkHE,,vertical break,
statements,handwritten annotation,item,eNyFmkHC,,fingering,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,agent,statement,2Aq24AkF,,Lucien-Léon Guillaume Lambert,YvQmwaaW||
statements,agent,statement,DDH7fEFM,,Anonymous,oMERLdSN||
statements,agent,statement,GFV4FAhY,,Colombier Editeur,7tdgMgre|dtkJhYLf|
