category,faam_property,type,value,base_url,label
metadata,label,string,"Mary Stuart, Queen of Scots",,
metadata,description,string,Queen of Scotland from 1542 to 1567 (1542–1587),,
metadata,aliases,string,Alys Stuart,,
metadata,aliases,string,Mary,,
metadata,aliases,string,"Mary, Queen of Scotland",,
metadata,aliases,string,Queen Mary,,
metadata,aliases,string,Mary Stewart,,
metadata,aliases,string,"Mary Stewart, Queen of Scots",,
metadata,aliases,string,Mary Stuart,,
metadata,aliases,string,Queen of Scots Mary,,
metadata,aliases,string,"Mary, Queen of Scots",,
metadata,qid,externalid,Q131412,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16004279,,
statements,VIAF ID,externalid,104722318,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/383962,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Stuart_(Queen_of_Scots),_Mary",https://imslp.org/wiki/,
statements,date of birth,date,1542-12-08,,
statements,date of death,date,1587-02-08,,
statements,instance of,item,aJeJBesD,,human
statements,role,item,YvQmwaaW,,composer
statements,related to,item,Gx3B7DJH,,early music
statements,occupation,item,7gohDEi3,,politician
statements,occupation,item,J7Jn2tJp,,
statements,occupation,item,Lk3r3s4L,,
statements,occupation,item,QpFirYM2,,
statements,occupation,item,VXdETnhb,,
statements,sex or gender,item,KsQFUkWz,,female
statements,nationality,item,KmPGztnu,,United Kingdom
statements,nationality,item,GWi2pxMk,,Kingdom of Scotland
statements,place of birth,item,NgZwrdXu,,
statements,place of death,item,7dEVzDRc,,
statements,place of death,item,TVjiPeUB,,
statements,influenced by,item,fnwvXE54,,
