category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Psaume 18,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992639,,,
metadata,FAAM manifestation ID,id,KCG-000355797,,,
metadata,call number,string,II-602,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,cmQGFaLi,,Lithographic quality,
statements,handwritten annotation,item,gaLrAUbu,,deletion,
statements,handwritten annotation,item,D6RjeTWv,,musical expression,
statements,handwritten annotation,item,K4TocMAK,,slur,
statements,handwritten annotation,item,gb6MiJbD,,ink stamp,
statements,handwritten annotation,item,6fQyHcwz,,accent,
statements,handwritten annotation,item,HKyA3Qzz,,dynamic,
statements,provenance,item,7jH33jwQ,,Library Royal Conservatoire Ghent,
statements,related item,item,PKcvUF5M,,Psaume 18 : Partition,
statements,keyword,item,RV2os4Ug,,psalm,
statements,keyword,item,BdJHjaCE,,liturgical music,
statements,instrumentation,item,fTDkNCW3,,orchestra,
statements,musical work,item,5xqtFbkb,,"I cieli immensi narrano, S. 618",
statements,agent,statement,SnTwYr4w,,Benedetto Marcello,YvQmwaaW||
statements,agent,statement,DDH7fEFM,,Anonymous,AcFWzeQH||
statements,agent,statement,KW3RZcDp,,Royal Conservatory of Ghent,9QaFAsRL|AYShtw7v|1865
