category,faam_property,type,value,base_url,label
metadata,label,string,"Keyboard Sonata in E major, K.215",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,aliases,string,Sonata K. 215,,
metadata,qid,externalid,Q74594843,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16003608,,
statements,IMSLP ID,externalid,"Keyboard Sonata in E major, K.215 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,294086618,https://viaf.org/viaf/,
statements,form of creative work,item,RtkoMT89,,sonata
statements,creator,item,PXYCpRXf,,Domenico Scarlatti
statements,adapted by,item,jm4QpjVW,,Carl Czerny
