category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,"2e Grand Sextuor : pour Piano-Forte, 2 Violons, Alto, Violoncelle et Contre Basse : Op. 85",,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992590,,,
metadata,FAAM manifestation ID,id,KCG-000334850,,,
metadata,call number,string,II-A-57,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score format,item,guXbuHaq,,Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,IMSLP ID,externalid,"Piano_Sextet_No.2,_Op.85_(Bertini,_Henri)",https://imslp.org/wiki/,,
statements,handwritten annotation,item,eNyFmkHC,,fingering,
statements,handwritten annotation,item,GpNEm7nw,,engage pedal,
statements,handwritten annotation,item,LQE77nqs,,release pedal,
statements,provenance,item,7jH33jwQ,,Library Royal Conservatoire Ghent,
statements,keyword,item,P6oPC63c,,sextet,
statements,keyword,item,UM7y2NCo,,chamber music,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,instrumentation,item,G8tgNnWV,,violin,
statements,instrumentation,item,K9mQeF4d,,viola,
statements,instrumentation,item,2nFJpnZ8,,cello,
statements,instrumentation,item,i6ZUL4z4,,double bass,
statements,musical work,item,R8qudHL4,,"Piano Sextet No.2, Op.85",
statements,agent,statement,DDH7fEFM,,Anonymous,oMERLdSN||
statements,agent,statement,A43szu5o,,Henri Bertini,YvQmwaaW||1833
