category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Bilitis. Comédie Lyrique en deux actes et trois tableaux,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005444,,,
metadata,FAAM manifestation ID,id,ORP-20143701p11,,,
metadata,call number,string,KTS1 H.11.map.005,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,Resource not available.,,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,7AXGCpck,,opera,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,agent,statement,XmTsMFTz,,Albert Dupuis,YvQmwaaW||
