category,faam_property,type,value,base_url,label
metadata,label,string,Oliver Ditson Company,,
metadata,description,string,American publisher of sheet music,,
metadata,aliases,string,Oliver Ditson Co.,,
metadata,aliases,string,Oliver Ditson & Co.,,
metadata,aliases,string,Oliver Ditson and Company,,
metadata,aliases,string,Oliver Ditson Company,,
metadata,qid,externalid,Q59617376,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16004172,,
statements,VIAF ID,externalid,128297096,https://viaf.org/viaf/,
statements,instance of,item,HmGw8E8i,,music publishing company
statements,role,item,7tdgMgre,,publisher
statements,occupation,item,MwhmFC4w,,music publisher
statements,nationality,item,fiWxEeqn,,United States of America
