category,faam_property,type,value,base_url,label
metadata,label,string,adagio,,
metadata,description,string,musical tempo indication,,
metadata,aliases,string,adagio,,
metadata,qid,externalid,Q482153,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,15992208,,
statements,subclass of,item,mkCY9LDD,,tempo
statements,instance of,item,fxtj72S3,,musical notation
statements,musical parameter,item,R9hADWGS,,duration
statements,used by,item,YvQmwaaW,,composer
statements,used by,item,AcFWzeQH,,conductor
statements,used by,item,6UPEJgTQ,,editor
