category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,O Beata Mater. pour Solo et 4 voix mixtes ou 4 voix égales.,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005693,,,
metadata,FAAM manifestation ID,id,DPF-202502042,,,
metadata,call number,string,not available,,,
metadata,score format,item,guXbuHaq,,Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,HohjWQAt,,Instrument Cue,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,SRaiiKJr,,decrescendo,
statements,editorial annotation,item,nYFUSbbz,,rest measure count,
statements,editorial annotation,item,m9rNaSAR,,rallentando,
statements,editorial annotation,item,mMrUGL4h,,ad libitum,
statements,handwritten annotation,item,gb6MiJbD,,ink stamp,
statements,provenance,item,HkU9txzL,,Donation Private Fonds,
statements,related item,item,JaMgbGM3,,O Beata Mater. pour Solo et 4 voix mixtes ou 4 voix égales.,
statements,keyword,item,Rn2iLGJr,,period composition,
statements,keyword,item,ZMpsLcpT,,Cecilian Movement,
statements,keyword,item,BdJHjaCE,,liturgical music,
statements,keyword,item,7UGJWsQF,,Marian hymn,
statements,instrumentation,item,nJY8Xxwz,,choir,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,agent,statement,UnrnLejN,,August De Boeck,YvQmwaaW||
statements,agent,statement,Naw52sHU,,Georges Oertel,7tdgMgre||
statements,agent,statement,73rx6srk,,Florian Heyerick,9QaFAsRL||
