category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Méthode élémentaire de chant. pour voix de Baryton ou Basse,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005447,,,
metadata,FAAM manifestation ID,id,ORP-20143701p14,,,
metadata,call number,string,KTS1 H.11.map.005,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,Resource available on IMSLP: https://imslp.org/wiki/M%C3%A9thode_%C3%A9l%C3%A9mentaire_de_chant_(Bord%C3%A8se%2C_Luigi),,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,keyword,item,NkfcVjHM,,music education,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,agent,statement,Avg44bUG,,Louis Bordèse,YvQmwaaW||
